CommonCode,Name,Description,Symbol,Annex,Alias,Active
LC,linear centimetre,,,2,LINEAR_CENTIMETRE_LC,1
LF,linear foot,A unit of count defining the number of feet (12_inch) in length of a uniform width object.,,2,LINEAR_FOOT_LF,1
LI,linear inch,,,2,LINEAR_INCH_LI,1
LM,linear metre,A unit of count defining the number of metres in length of a uniform width object.,,2,LINEAR_METRE_LM,1
LY,linear yard,A unit of count defining the number of 36_inch units in length of a uniform width object.,,2,LINEAR_YARD_LY,1
LX,linear yard per pound,,,2,LINEAR_YARD_PER_POUND_LX,1
LK,link,A unit of distance equal to 0.01 chain.,,2,LINK_LK,1
PTL,liquid pint (US),,liq pt (US),1,LIQUID_PINT_US_PTL,1
LP,liquid pound,A unit of mass defining the number of pounds of a liquid substance.,,2,LIQUID_POUND_LP,1
QTL,liquid quart (US),,liq qt (US),1,LIQUID_QUART_US_QTL,0
LE,lite,,,2,LITE_LE,1
LTR,litre,,l,1,LITRE_LTR,0
LPA,litre of pure alcohol,A unit of volume equal to one litre of pure alcohol.,,2,LITRE_OF_PURE_ALCOHOL_LPA,1
G95,litre per bar,,l/bar,1,LITRE_PER_BAR_G95,0
LD,litre per day,,l/d,1,LITRE_PER_DAY_LD,0
G82,litre per day bar,,l/(d*bar),1,LITRE_PER_DAY_BAR_G82,0
G65,litre per day kelvin,,l/(d*K),1,LITRE_PER_DAY_KELVIN_G65,0
E32,litre per hour,A unit of count defining the number of litres per hour.,l/h,2,LITRE_PER_HOUR_E32,1
G83,litre per hour bar,,l/(h*bar),1,LITRE_PER_HOUR_BAR_G83,0
G66,litre per hour kelvin,,l/(h*K),1,LITRE_PER_HOUR_KELVIN_G66,0
G28,litre per kelvin,,l/K,1,LITRE_PER_KELVIN_G28,0
H83,litre per kilogram,,l/kg,1,LITRE_PER_KILOGRAM_H83,0
K62,litre per litre,,l/l,1,LITRE_PER_LITRE_K62,0
L2,litre per minute,,l/min,1,LITRE_PER_MINUTE_L2,0
G84,litre per minute bar,,l/(min*bar),1,LITRE_PER_MINUTE_BAR_G84,0
G67,litre per minute kelvin,,l/(min*K),1,LITRE_PER_MINUTE_KELVIN_G67,0
B58,litre per mole,,l/mol,1,LITRE_PER_MOLE_B58,0
G51,litre per second,,l/s,1,LITRE_PER_SECOND_G51,0
G85,litre per second bar,,l/(s*bar),1,LITRE_PER_SECOND_BAR_G85,0
G68,litre per second kelvin,,l/(s*K),1,LITRE_PER_SECOND_KELVIN_G68,0
NL,load,A unit of volume defining the number of loads (load: a quantity of items carried or processed at one time).,,2,LOAD_NL,1
1C,locomotive count,,,2,LOCOMOTIVE_COUNT_1C,1
1K,locomotive mile,,,2,LOCOMOTIVE_MILE_1K,1
LO,lot [unit of procurement],A unit of count defining the number of lots (lot: a collection of associated items).,,2,LOT_UNIT_OF_PROCUREMENT_LO,1
D04,lot [unit of weight],A unit of weight equal to about 1/2 ounce or 15 grams.,,2,LOT_UNIT_OF_WEIGHT_D04,1
Z5,lug,,,2,LUG_Z5,1
LUM,lumen,,lm,1,LUMEN_LUM,0
B59,lumen hour,,lm*h,1,LUMEN_HOUR_B59,0
P25,lumen per square foot,Derived SI unit lumen divided by the power of the unit foot according to the Anglo_American and Imperial system of units by exponent 2.,lm/ft^2,1,LUMEN_PER_SQUARE_FOOT_P25,0
B60,lumen per square metre,,lm/m^2,1,LUMEN_PER_SQUARE_METRE_B60,0
B61,lumen per watt,,lm/W,1,LUMEN_PER_WATT_B61,0
B62,lumen second,,lm*s,1,LUMEN_SECOND_B62,0
LS,lump sum,A unit of count defining the number of whole or a complete monetary amounts.,,2,LUMP_SUM_LS,1
LUX,lux,,lx,1,LUX_LUX,0
B63,lux hour,,lx*h,1,LUX_HOUR_B63,0
B64,lux second,,lx*s,1,LUX_SECOND_B64,0
MA,machine per unit,,,2,MACHINE_PER_UNIT_MA,1
M0,magnetic tape,,,2,MAGNETIC_TAPE_M0,1
3C,manmonth,A unit of count defining the number of months for a person or persons to perform an undertaking.,,2,MANMONTH_3C,1
D98,mass pound,,,2,MASS_POUND_D98,1
MT,mat,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,MAT_MT,1
B65,maxwell,,Mx,2,MAXWELL_B65,1
Q3,meal,A unit of count defining the number of meals (meal: an amount of food to be eaten on a single occasion).,,2,MEAL_Q3,1
D11,mebibit,A unit of information equal to 2^2^0 (1048576) bits (binary digits).,Mibit,2,MEBIBIT_D11,1
E77,mebibit per cubic metre,A unit of information equal to 2^20 bits (binary digits) per cubic metre.,Mibit/m^3,2,MEBIBIT_PER_CUBIC_METRE_E77,1
E75,mebibit per metre,A unit of information equal to 2^20 bits (binary digits) per metre.,Mibit/m,2,MEBIBIT_PER_METRE_E75,1
E76,mebibit per square metre,A unit of information equal to 2^20 bits (binary digits) per square metre.,Mibit/m^2,2,MEBIBIT_PER_SQUARE_METRE_E76,1
E63,mebibyte,A unit of information equal to 2^20 bytes.,Mibyte,2,MEBIBYTE_E63,1
H38,megaampere,,MA,1,MEGAAMPERE_H38,0
B66,megaampere per square metre,,MA/m^2,1,MEGAAMPERE_PER_SQUARE_METRE_B66,0
J54,megabaud,A unit of signal transmission speed equal to 10^6 (1000000) signaling events per second.,MBd,2,MEGABAUD_J54,1
4N,megabecquerel,,MBq,1,MEGABECQUEREL_4N,0
B67,megabecquerel per kilogram,,MBq/kg,1,MEGABECQUEREL_PER_KILOGRAM_B67,0
D36,megabit,A unit of information equal to 10^6 (1000000) bits (binary digits).,Mbit,2,MEGABIT_D36,1
E20,megabit per second,A unit of information equal to 10^6 (1000000) bits (binary digits) per second.,Mbit/s,2,MEGABIT_PER_SECOND_E20,1
4L,megabyte,A unit of information equal to 10^6 (1000000) bytes.,Mbyte,2,MEGABYTE_4L,1
P95,megabyte per second,1 000 000_fold of the unit byte divided by the SI base unit second.,Mbyte/s,2,MEGABYTE_PER_SECOND_P95,1
D77,megacoulomb,,MC,1,MEGACOULOMB_D77,0
B69,megacoulomb per cubic metre,,MC/m^3,1,MEGACOULOMB_PER_CUBIC_METRE_B69,0
B70,megacoulomb per square metre,,MC/m^2,1,MEGACOULOMB_PER_SQUARE_METRE_B70,0
B71,megaelectronvolt,,MeV,1,MEGAELECTRONVOLT_B71,0
2U,megagram,,Mg,1,MEGAGRAM_2U,0
B72,megagram per cubic metre,,Mg/m^3,1,MEGAGRAM_PER_CUBIC_METRE_B72,0
2V,megagram per hour,,Mg/h,2,MEGAGRAM_PER_HOUR_2V,1
MHZ,megahertz,,MHz,1,MEGAHERTZ_MHZ,0
H39,megahertz kilometre,,MHz*km,1,MEGAHERTZ_KILOMETRE_H39,0
M27,megahertz metre,,MHz*m,1,MEGAHERTZ_METRE_M27,0
3B,megajoule,,MJ,1,MEGAJOULE_3B,0
JM,megajoule per cubic metre,,MJ/m^3,1,MEGAJOULE_PER_CUBIC_METRE_JM,0
JK,megajoule per kilogram,,MJ/kg,1,MEGAJOULE_PER_KILOGRAM_JK,0
D78,megajoule per second,A unit of accumulated energy equal to one million joules per second.,MJ/s,2,MEGAJOULE_PER_SECOND_D78,1
MAL,megalitre,,Ml,1,MEGALITRE_MAL,0
MAM,megametre,,Mm,1,MEGAMETRE_MAM,0
B73,meganewton,,MN,1,MEGANEWTON_B73,0
B74,meganewton metre,,MN*m,1,MEGANEWTON_METRE_B74,0
B75,megaohm,,MΩ,1,MEGAOHM_B75,0
H88,megaohm kilometre,,MΩ*km,1,MEGAOHM_KILOMETRE_H88,0
B76,megaohm metre,,MΩ*m,1,MEGAOHM_METRE_B76,0
H36,megaohm per kilometre,,MΩ/km,1,MEGAOHM_PER_KILOMETRE_H36,0
H37,megaohm per metre,,MΩ/m,1,MEGAOHM_PER_METRE_H37,0
MPA,megapascal,,MPa,1,MEGAPASCAL_MPA,0
F98,megapascal cubic metre per second,,MPa*m^3/s,1,MEGAPASCAL_CUBIC_METRE_PER_SECOND_F98,0
F97,megapascal litre per second,,MPa*l/s,1,MEGAPASCAL_LITRE_PER_SECOND_F97,0
F05,megapascal per bar,,MPa/bar,1,MEGAPASCAL_PER_BAR_F05,0
F85,megapascal per kelvin,,MPa/K,1,MEGAPASCAL_PER_KELVIN_F85,0
E38,megapixel,A unit of count equal to 10^6 (1000000) pixels (picture elements).,,2,MEGAPIXEL_E38,1
B77,megasiemens per metre,,MS/m,1,MEGASIEMENS_PER_METRE_B77,0
MAR,megavar,A unit of electrical reactive power represented by a current of one thousand amperes flowing due a potential difference of one thousand volts where the sine of the phase angle between them is 1.,kvar,1,MEGAVAR_MAR,0
B78,megavolt,,MV,1,MEGAVOLT_B78,0
MVA,megavolt _ ampere,,MV*A,1,MEGAVOLT___AMPERE_MVA,0
MAH,megavolt ampere reactive hour,A unit of electrical reactive power defining the total amount of reactive power across a power system.,Mvar*h,2,MEGAVOLT_AMPERE_REACTIVE_HOUR_MAH,1
B79,megavolt per metre,,MV/m,1,MEGAVOLT_PER_METRE_B79,0
MAW,megawatt,A unit of power defining the rate of energy transferred or consumed when a current of 1000 amperes flows due to a potential of 1000 volts at unity power factor.,MW,1,MEGAWATT_MAW,0
MWH,megawatt hour (1000 kW.h),A unit of power defining the total amount of bulk energy transferred or consumed.,MW*h,1,MEGAWATT_HOUR_1000_KWH_MWH,0
E07,megawatt hour per hour,A unit of accumulated energy of a million watts over a period of one hour.,MW*h/h,2,MEGAWATT_HOUR_PER_HOUR_E07,1
E08,megawatt per hertz,A unit of energy expressed as the load change in million watts that will cause a frequency shift of one hertz.,MW/Hz,2,MEGAWATT_PER_HERTZ_E08,1
Q35,megawatts per minute,A unit of power defining the total amount of bulk energy transferred or consumer per minute,MW/min,1,MEGAWATTS_PER_MINUTE_Q35,0
57,mesh,A unit of count defining the number of strands per inch as a measure of the fineness of a woven product.,,2,MESH_57,1
NF,message,A unit of count defining the number of messages.,,2,MESSAGE_NF,1
NH,message hour,,,2,MESSAGE_HOUR_NH,1
MTR,metre,,m,1,METRE_MTR,1
D18,metre kelvin,,m*K,1,METRE_KELVIN_D18,0
G05,metre per bar,,m/bar,1,METRE_PER_BAR_G05,0
N83,metre per degree Celcius metre,SI base unit metre divided by the product of the unit degree Celsius and the SI base unit metre.,m/(°C*m),1,METRE_PER_DEGREE_CELCIUS_METRE_N83,0
M60,metre per hour,SI base unit metre divided by the unit hour.,m/h,1,METRE_PER_HOUR_M60,0
F52,metre per kelvin,,m/K,1,METRE_PER_KELVIN_F52,0
2X,metre per minute,,m/min,1,METRE_PER_MINUTE_2X,0
M53,metre per pascal,SI base unit metre divided by the derived SI unit pascal.,m/Pa,1,METRE_PER_PASCAL_M53,0
M55,metre per radiant,Unit of the translation factor for implementation from rotation to linear movement.,m/rad,1,METRE_PER_RADIANT_M55,0
MTS,metre per second,,m/s,1,METRE_PER_SECOND_MTS,0
L13,metre per second bar,,(m/s)/bar,1,METRE_PER_SECOND_BAR_L13,0
L12,metre per second kelvin,,(m/s)/K,1,METRE_PER_SECOND_KELVIN_L12,0
M59,metre per second pascal,SI base unit meter divided by the product of SI base unit second and the derived SI unit pascal.,(m/s)/Pa,1,METRE_PER_SECOND_PASCAL_M59,0
MSK,metre per second squared,,m/s^2,1,METRE_PER_SECOND_SQUARED_MSK,0
H58,metre per volt second,,m/(V*s),1,METRE_PER_VOLT_SECOND_H58,0
B83,metre to the fourth power,,m^4,1,METRE_TO_THE_FOURTH_POWER_B83,0
CTM,metric carat,,,2,METRIC_CARAT_CTM,1
HJ,metric horse power,,metric hp,1,METRIC_HORSE_POWER_HJ,0
E5,metric long ton,Use ton (UK) or long ton (US) (common code LTN),,2,METRIC_LONG_TON_E5,1
TIC,metric ton including container,A unit of mass defining the number of metric tons of a product including its container.,,2,METRIC_TON_INCLUDING_CONTAINER_TIC,1
TIP,metric ton including inner packaging,A unit of mass defining the number of metric tons of a product including its inner packaging materials.,,2,METRIC_TON_INCLUDING_INNER_PACKAGING_TIP,1
LUB,metric ton lubricating oil,A unit of mass defining the number of metric tons of lubricating oil.,,2,METRIC_TON_LUBRICATING_OIL_LUB,1
NQ,mho,,,1,MHO_NQ,1
M7,micro_inch,,µin,1,MICRO_INCH_M7,0
B84,microampere,,µA,1,MICROAMPERE_B84,0
B85,microbar,,µbar,1,MICROBAR_B85,0
H08,microbecquerel,,µBq,1,MICROBECQUEREL_H08,0
B86,microcoulomb,,µC,1,MICROCOULOMB_B86,0
B87,microcoulomb per cubic metre,,µC/m^3,1,MICROCOULOMB_PER_CUBIC_METRE_B87,0
B88,microcoulomb per square metre,,µC/m^2,1,MICROCOULOMB_PER_SQUARE_METRE_B88,0
M5,microcurie,,µCi,1,MICROCURIE_M5,0
4O,microfarad,,µF,1,MICROFARAD_4O,0
H28,microfarad per kilometre,,µF/km,1,MICROFARAD_PER_KILOMETRE_H28,0
B89,microfarad per metre,,µF/m,1,MICROFARAD_PER_METRE_B89,0
G7,microfiche sheet,,,2,MICROFICHE_SHEET_G7,1
MC,microgram,,µg,1,MICROGRAM_MC,0
GQ,microgram per cubic metre,,µg/m^3,1,MICROGRAM_PER_CUBIC_METRE_GQ,0
J35,microgram per cubic metre bar,,(µg/m^3)/bar,1,MICROGRAM_PER_CUBIC_METRE_BAR_J35,0
J34,microgram per cubic metre kelvin,,(µg/m^3)/K,1,MICROGRAM_PER_CUBIC_METRE_KELVIN_J34,0
Q29,microgram per hectogram,Microgram per hectogram.,µg/hg,1,MICROGRAM_PER_HECTOGRAM_Q29,0
J33,microgram per kilogram,,µg/kg,1,MICROGRAM_PER_KILOGRAM_J33,0
H29,microgram per litre,,µg/l,1,MICROGRAM_PER_LITRE_H29,0
P63,microgray per hour,0000 001_fold of the derived SI unit gray divided by the unit hour.,µGy/h,1,MICROGRAY_PER_HOUR_P63,0
P59,microgray per minute,0000 001_fold of the derived SI unit gray divided by the unit minute.,µGy/min,1,MICROGRAY_PER_MINUTE_P59,0
P55,microgray per second,0000 001_fold of the derived SI unit gray divided by the SI base unit second.,µGy/s,1,MICROGRAY_PER_SECOND_P55,0
B90,microhenry,,µH,1,MICROHENRY_B90,0
G98,microhenry per kiloohm,,µH/kΩ,1,MICROHENRY_PER_KILOOHM_G98,0
B91,microhenry per metre,,µH/m,1,MICROHENRY_PER_METRE_B91,0
G99,microhenry per ohm,,µH/Ω,1,MICROHENRY_PER_OHM_G99,0
4G,microlitre,,µl,1,MICROLITRE_4G,0
J36,microlitre per litre,,µl/l,1,MICROLITRE_PER_LITRE_J36,0
4H,micrometre (micron),,µm,1,MICROMETRE_MICRON_4H,0
F50,micrometre per kelvin,,µm/K,1,MICROMETRE_PER_KELVIN_F50,0
NR,micromho,,,1,MICROMHO_NR,1
FH,micromole,,µmol,1,MICROMOLE_FH,0
B92,micronewton,,µN,1,MICRONEWTON_B92,0
B93,micronewton metre,,µN*m,1,MICRONEWTON_METRE_B93,0
B94,microohm,,µΩ,1,MICROOHM_B94,0
B95,microohm metre,,µΩ*m,1,MICROOHM_METRE_B95,0
B96,micropascal,,µPa,1,MICROPASCAL_B96,0
J32,micropoise,,µP,1,MICROPOISE_J32,0
B97,microradian,,µrad,1,MICRORADIAN_B97,0
B98,microsecond,,µs,1,MICROSECOND_B98,0
B99,microsiemens,,µS,1,MICROSIEMENS_B99,0
G42,microsiemens per centimetre,,µS/cm,1,MICROSIEMENS_PER_CENTIMETRE_G42,0
G43,microsiemens per metre,,µS/m,1,MICROSIEMENS_PER_METRE_G43,0
P72,microsievert per hour,0000 001_fold of the derived SI unit sievert divided by the unit hour.,µSv/h,1,MICROSIEVERT_PER_HOUR_P72,0
P76,microsievert per minute,0000 001_fold of the derived SI unit sievert divided by the unit minute.,µSv/min,1,MICROSIEVERT_PER_MINUTE_P76,0
P67,microsievert per second,0000 001_fold of the derived SI unit sievert divided by the SI base unit second.,µSv/s,1,MICROSIEVERT_PER_SECOND_P67,0
D81,microtesla,,µT,1,MICROTESLA_D81,0
D82,microvolt,,µV,1,MICROVOLT_D82,0
C3,microvolt per metre,,µV/m,1,MICROVOLT_PER_METRE_C3,0
D80,microwatt,,µW,1,MICROWATT_D80,0
D85,microwatt per square metre,,µW/m^2,1,MICROWATT_PER_SQUARE_METRE_D85,0
M43,mil,Unit to indicate an angle at military zone equal to the 6400th part of the full circle of the 360° or 2*p*rad.,mil,1,MIL_M43,0
M52,mile (based on U.S. survey foot),Unit commonly used in the United States for ordnance survey.,mi (US survey),1,MILE_BASED_ON_US_SURVEY_FOOT_M52,0
SMI,mile (statute mile),,mile,1,MILE_STATUTE_MILE_SMI,0
M42,mile (statute mile) per second squared,Unit of the length according to the Imperial system of units divided by the power of the SI base unit second by exponent 2.,mi/s^2,1,MILE_STATUTE_MILE_PER_SECOND_SQUARED_M42,0
HM,mile per hour (statute mile),,mile/h,1,MILE_PER_HOUR_STATUTE_MILE_HM,0
M57,mile per minute,Unit of velocity from the Imperial system of units.,mi/min,1,MILE_PER_MINUTE_M57,0
M58,mile per second,Unit of the velocity from the Imperial system of units.,mi/s,1,MILE_PER_SECOND_M58,0
E12,mille,A unit of count defining the number of cigarettes in units of 1000.,,2,MILLE_E12,1
77,milli_inch,,mil,1,MILLI_INCH_77,0
4K,milliampere,,mA,1,MILLIAMPERE_4K,0
E09,milliampere hour,A unit of power load delivered at the rate of one thousandth of an ampere over a period of one hour.,mA*h,1,MILLIAMPERE_HOUR_E09,0
F59,milliampere per bar,,mA/bar,1,MILLIAMPERE_PER_BAR_F59,0
F08,milliampere per inch,,mA/in,1,MILLIAMPERE_PER_INCH_F08,0
G59,milliampere per litre minute,,mA/(l*min),1,MILLIAMPERE_PER_LITRE_MINUTE_G59,0
F76,milliampere per millimetre,,mA/mm,1,MILLIAMPERE_PER_MILLIMETRE_F76,0
F57,milliampere per pound_force per square inch,,mA/(lbf/in^2),1,MILLIAMPERE_PER_POUND_FORCE_PER_SQUARE_INCH_F57,0
MLD,milliard,Synonym: billion (US),,2,MILLIARD_MLD,1
MBR,millibar,,mbar,1,MILLIBAR_MBR,0
F96,millibar cubic metre per second,,mbar*m^3/s,1,MILLIBAR_CUBIC_METRE_PER_SECOND_F96,0
F95,millibar litre per second,,mbar*l/s,1,MILLIBAR_LITRE_PER_SECOND_F95,0
F04,millibar per bar,,mbar/bar,1,MILLIBAR_PER_BAR_F04,0
F84,millibar per kelvin,,mbar/K,1,MILLIBAR_PER_KELVIN_F84,0
P34,millicandela,0001_fold of the SI base unit candela.,mcd,1,MILLICANDELA_P34,0
D86,millicoulomb,,mC,1,MILLICOULOMB_D86,0
D88,millicoulomb per cubic metre,,mC/m^3,1,MILLICOULOMB_PER_CUBIC_METRE_D88,0
C8,millicoulomb per kilogram,,mC/kg,1,MILLICOULOMB_PER_KILOGRAM_C8,0
D89,millicoulomb per square metre,,mC/m^2,1,MILLICOULOMB_PER_SQUARE_METRE_D89,0
MCU,millicurie,,mCi,1,MILLICURIE_MCU,0
KO,milliequivalence caustic potash per gram of product,A unit of count defining the number of milligrams of potassium hydroxide per gram of product as a measure of the concentration of potassium hydroxide in the product.,,2,MILLIEQUIVALENCE_CAUSTIC_POTASH_PER_GRAM_OF_PRODUCT_KO,1
C10,millifarad,,mF,1,MILLIFARAD_C10,0
C11,milligal,,mGal,1,MILLIGAL_C11,0
MGM,milligram,,mg,1,MILLIGRAM_MGM,0
F75,milligram per bar,,mg/bar,1,MILLIGRAM_PER_BAR_F75,0
GP,milligram per cubic metre,,mg/m^3,1,MILLIGRAM_PER_CUBIC_METRE_GP,0
L18,milligram per cubic metre bar,,(mg/m^3)/bar,1,MILLIGRAM_PER_CUBIC_METRE_BAR_L18,0
L17,milligram per cubic metre kelvin,,(mg/m^3)/K,1,MILLIGRAM_PER_CUBIC_METRE_KELVIN_L17,0
F32,milligram per day,,mg/d,1,MILLIGRAM_PER_DAY_F32,0
F70,milligram per day bar,,mg/(d*bar),1,MILLIGRAM_PER_DAY_BAR_F70,0
F43,milligram per day kelvin,,mg/(d*K),1,MILLIGRAM_PER_DAY_KELVIN_F43,0
H64,milligram per gram,,mg/g,1,MILLIGRAM_PER_GRAM_H64,0
4M,milligram per hour,,mg/h,1,MILLIGRAM_PER_HOUR_4M,0
F71,milligram per hour bar,,mg/(h*bar),1,MILLIGRAM_PER_HOUR_BAR_F71,0
F44,milligram per hour kelvin,,mg/(h*K),1,MILLIGRAM_PER_HOUR_KELVIN_F44,0
F16,milligram per kelvin,,mg/K,1,MILLIGRAM_PER_KELVIN_F16,0
NA,milligram per kilogram,,mg/kg,1,MILLIGRAM_PER_KILOGRAM_NA,0
M1,milligram per litre,,mg/l,1,MILLIGRAM_PER_LITRE_M1,0
C12,milligram per metre,,mg/m,1,MILLIGRAM_PER_METRE_C12,0
F33,milligram per minute,,mg/min,1,MILLIGRAM_PER_MINUTE_F33,0
F72,milligram per minute bar,,mg/(min*bar),1,MILLIGRAM_PER_MINUTE_BAR_F72,0
F45,milligram per minute kelvin,,mg/(min*K),1,MILLIGRAM_PER_MINUTE_KELVIN_F45,0
F34,milligram per second,,mg/s,1,MILLIGRAM_PER_SECOND_F34,0
F73,milligram per second bar,,mg/(s*bar),1,MILLIGRAM_PER_SECOND_BAR_F73,0
F46,milligram per second kelvin,,mg/(s*K),1,MILLIGRAM_PER_SECOND_KELVIN_F46,0
H63,milligram per square centimetre,,mg/cm^2,1,MILLIGRAM_PER_SQUARE_CENTIMETRE_H63,0
MF,milligram per square foot per side,,,2,MILLIGRAM_PER_SQUARE_FOOT_PER_SIDE_MF,1
MK,milligram per square inch,,mg/in^2,2,MILLIGRAM_PER_SQUARE_INCH_MK,1
GO,milligram per square metre,,mg/m^2,1,MILLIGRAM_PER_SQUARE_METRE_GO,0
C13,milligray,,mGy,1,MILLIGRAY_C13,0
P62,milligray per hour,0001_fold of the derived SI unit gray divided by the unit hour.,mGy/h,1,MILLIGRAY_PER_HOUR_P62,0
P58,milligray per minute,0001_fold of the derived SI unit gray divided by the unit minute.,mGy/min,1,MILLIGRAY_PER_MINUTE_P58,0
P54,milligray per second,0001_fold of the derived SI unit gray divided by the SI base unit second.,mGy/s,1,MILLIGRAY_PER_SECOND_P54,0
C14,millihenry,,mH,1,MILLIHENRY_C14,0
H05,millihenry per kiloohm,,mH/kΩ,1,MILLIHENRY_PER_KILOOHM_H05,0
H06,millihenry per ohm,,mH/Ω,1,MILLIHENRY_PER_OHM_H06,0
C15,millijoule,,mJ,1,MILLIJOULE_C15,0
MLT,millilitre,,ml,1,MILLILITRE_MLT,0
WW,millilitre of water,A unit of volume equal to the number of millilitres of water.,,2,MILLILITRE_OF_WATER_WW,1
G97,millilitre per bar,,ml/bar,1,MILLILITRE_PER_BAR_G97,0
H65,millilitre per cubic metre,,ml/m^3,1,MILLILITRE_PER_CUBIC_METRE_H65,0
G54,millilitre per day,,ml/d,1,MILLILITRE_PER_DAY_G54,0
G90,millilitre per day bar,,ml/(d*bar),1,MILLILITRE_PER_DAY_BAR_G90,0
G73,millilitre per day kelvin,,ml/(d*K),1,MILLILITRE_PER_DAY_KELVIN_G73,0
G55,millilitre per hour,,ml/h,1,MILLILITRE_PER_HOUR_G55,0
G91,millilitre per hour bar,,ml/(h*bar),1,MILLILITRE_PER_HOUR_BAR_G91,0
G74,millilitre per hour kelvin,,ml/(h*K),1,MILLILITRE_PER_HOUR_KELVIN_G74,0
G30,millilitre per kelvin,,ml/K,1,MILLILITRE_PER_KELVIN_G30,0
KX,millilitre per kilogram,,ml/kg,1,MILLILITRE_PER_KILOGRAM_KX,0
L19,millilitre per litre,,ml/l,1,MILLILITRE_PER_LITRE_L19,0
41,millilitre per minute,,ml/min,1,MILLILITRE_PER_MINUTE_41,0
G92,millilitre per minute bar,,ml/(min*bar),1,MILLILITRE_PER_MINUTE_BAR_G92,0
G75,millilitre per minute kelvin,,ml/(min*K),1,MILLILITRE_PER_MINUTE_KELVIN_G75,0
40,millilitre per second,,ml/s,1,MILLILITRE_PER_SECOND_40,0
G93,millilitre per second bar,,ml/(s*bar),1,MILLILITRE_PER_SECOND_BAR_G93,0
G76,millilitre per second kelvin,,ml/(s*K),1,MILLILITRE_PER_SECOND_KELVIN_G76,0
M22,millilitre per square centimetre minute,,(ml/min)/cm^2,1,MILLILITRE_PER_SQUARE_CENTIMETRE_MINUTE_M22,0
35,millilitre per square centimetre second,,ml/(cm^2*s),1,MILLILITRE_PER_SQUARE_CENTIMETRE_SECOND_35,0
MMT,millimetre,,mm,1,MILLIMETRE_MMT,0
G06,millimetre per bar,,mm/bar,1,MILLIMETRE_PER_BAR_G06,0
E97,millimetre per degree Celcius metre,,mm/(°C*m),1,MILLIMETRE_PER_DEGREE_CELCIUS_METRE_E97,0
H67,millimetre per hour,,mm/h,1,MILLIMETRE_PER_HOUR_H67,0
F53,millimetre per kelvin,,mm/K,1,MILLIMETRE_PER_KELVIN_F53,0
H81,millimetre per minute,,mm/min,1,MILLIMETRE_PER_MINUTE_H81,0
C16,millimetre per second,,mm/s,1,MILLIMETRE_PER_SECOND_C16,0
M41,millimetre per second squared,0001_fold of the SI base unit metre divided by the power of the SI base unit second by exponent 2.,mm/s^2,1,MILLIMETRE_PER_SECOND_SQUARED_M41,0
H66,millimetre per year,,mm/y,1,MILLIMETRE_PER_YEAR_H66,0
C17,millimetre squared per second,,mm^2/s,1,MILLIMETRE_SQUARED_PER_SECOND_C17,0
G77,millimetre to the fourth power,,mm^4,1,MILLIMETRE_TO_THE_FOURTH_POWER_G77,0
C18,millimole,,mmol,1,MILLIMOLE_C18,0
H68,millimole per gram,,mmol/g,1,MILLIMOLE_PER_GRAM_H68,0
D87,millimole per kilogram,,mmol/kg,1,MILLIMOLE_PER_KILOGRAM_D87,0
M33,millimole per litre,,mmol/l,1,MILLIMOLE_PER_LITRE_M33,0
C20,millinewton,,mN,1,MILLINEWTON_C20,0
D83,millinewton metre,,mN*m,1,MILLINEWTON_METRE_D83,0
C22,millinewton per metre,,mN/m,1,MILLINEWTON_PER_METRE_C22,0
E45,milliohm,,mΩ,1,MILLIOHM_E45,0
C23,milliohm metre,,mΩ*m,1,MILLIOHM_METRE_C23,0
F54,milliohm per metre,,mΩ/m,1,MILLIOHM_PER_METRE_F54,0
MIO,million,,,2,MILLION_MIO,1
M9,million Btu per 1000 cubic foot,,MBTU/kft^3,2,MILLION_BTU_PER_1000_CUBIC_FOOT_M9,1
E16,million Btu(IT) per hour,A unit of power equal to one million British thermal units per hour.,BtuIT/h,2,MILLION_BTUIT_PER_HOUR_E16,1
BZ,million BTUs,,,2,MILLION_BTUS_BZ,1
FM,million cubic foot,,Mft^3,2,MILLION_CUBIC_FOOT_FM,1
HMQ,million cubic metre,A unit of volume equal to one million cubic metres.,Mm^3,2,MILLION_CUBIC_METRE_HMQ,1
MIU,million international unit,A unit of count defining the number of international units in multiples of 10^6.,,2,MILLION_INTERNATIONAL_UNIT_MIU,1
FD,million particle per cubic foot,,,2,MILLION_PARTICLE_PER_CUBIC_FOOT_FD,1
UM,million unit,,,2,MILLION_UNIT_UM,1
74,millipascal,,mPa,1,MILLIPASCAL_74,0
P80,millipascal per metre,0001_fold of the derived SI unit pascal divided by the SI base unit metre.,mPa/m,1,MILLIPASCAL_PER_METRE_P80,0
C24,millipascal second,,mPa*s,1,MILLIPASCAL_SECOND_C24,0
L16,millipascal second per bar,,mPa*s/bar,1,MILLIPASCAL_SECOND_PER_BAR_L16,0
L15,millipascal second per kelvin,,mPa*s/K,1,MILLIPASCAL_SECOND_PER_KELVIN_L15,0
C25,milliradian,,mrad,1,MILLIRADIAN_C25,0
2Y,milliroentgen,,mR,1,MILLIROENTGEN_2Y,0
L31,milliroentgen aequivalent men,,mrem,1,MILLIROENTGEN_AEQUIVALENT_MEN_L31,0
C26,millisecond,,ms,1,MILLISECOND_C26,0
