CommonCode,Name,Description,Symbol,Annex,Alias,Active
A53,electronvolt,,eV,1,ELECTRONVOLT_A53,0
A54,electronvolt per metre,,eV/m,1,ELECTRONVOLT_PER_METRE_A54,0
A55,electronvolt square metre,,eV*m^2,1,ELECTRONVOLT_SQUARE_METRE_A55,0
A56,electronvolt square metre per kilogram,,eV*m^2/kg,1,ELECTRONVOLT_SQUARE_METRE_PER_KILOGRAM_A56,0
EP,eleven pack,,,2,ELEVEN_PACK_EP,1
1E,empty car,,,2,EMPTY_CAR_1E,1
EV,envelope,Use UN/ECE Recommendation 21 (refer to Note 2 in the spreadsheet introduction 1st sheet).,,2,ENVELOPE_EV,1
EQ,equivalent gallon,A unit of volume defining the number of gallons of product produced from concentrate.,,2,EQUIVALENT_GALLON_EQ,1
A57,erg,,erg,1,ERG_A57,0
A58,erg per centimetre,,erg/cm,1,ERG_PER_CENTIMETRE_A58,0
A60,erg per cubic centimetre,,erg/cm^3,1,ERG_PER_CUBIC_CENTIMETRE_A60,0
A61,erg per gram,,erg/g,1,ERG_PER_GRAM_A61,0
A62,erg per gram second,,erg/g*s,1,ERG_PER_GRAM_SECOND_A62,0
A63,erg per second,,erg/s,1,ERG_PER_SECOND_A63,0
A64,erg per second square centimetre,,erg/(s*cm^2),1,ERG_PER_SECOND_SQUARE_CENTIMETRE_A64,0
A65,erg per square centimetre second,,erg/(cm^2*s),1,ERG_PER_SQUARE_CENTIMETRE_SECOND_A65,0
A66,erg square centimetre,,erg*cm^2,1,ERG_SQUARE_CENTIMETRE_A66,0
A67,erg square centimetre per gram,,erg*cm^2/g,1,ERG_SQUARE_CENTIMETRE_PER_GRAM_A67,0
Q11,erlang,Unit of the market value according to the feature of a single feature as a statistical measurement of the existing utilization.,E,2,ERLANG_Q11,1
E58,exabit per second,A unit of information equal to 10^18 bits (binary digits) per second.,Ebit/s,2,EXABIT_PER_SECOND_E58,1
A68,exajoule,,EJ,1,EXAJOULE_A68,0
E67,exbibit per cubic metre,A unit of information equal to 2^60 bits (binary digits) per cubic metre.,Eibit/m^3,2,EXBIBIT_PER_CUBIC_METRE_E67,1
E65,exbibit per metre,A unit of information equal to 2^60 bits (binary digits) per metre.,Eibit/m,2,EXBIBIT_PER_METRE_E65,1
E66,exbibit per square metre,A unit of information equal to 2^60 bits (binary digits) per square metre.,Eibit/m^2,2,EXBIBIT_PER_SQUARE_METRE_E66,1
E59,exbibyte,A unit of information equal to 2^60 bytes.,Eibyte,2,EXBIBYTE_E59,1
63,failure rate in time,,,2,FAILURE_RATE_IN_TIME_63,1
FIT,failures in time,A unit of count defining the number of failures that can be expected over a specified time interval. Failure rates of semiconductor components are often specified as FIT (failures in time unit) where 1 FIT = 10^-9 /h.,FIT,2,FAILURES_IN_TIME_FIT,1
FAR,farad,,F,1,FARAD_FAR,0
H33,farad per kilometre,,F/km,1,FARAD_PER_KILOMETRE_H33,0
A69,farad per metre,,F/m,1,FARAD_PER_METRE_A69,0
AK,fathom,,fth,1,FATHOM_AK,0
A70,femtojoule,,fJ,1,FEMTOJOULE_A70,0
Q32,femtolitre,,fl,1,FEMTOLITRE_Q32,0
A71,femtometre,,fm,1,FEMTOMETRE_A71,0
FBM,fibre metre,A unit of length defining the number of metres of individual fibre.,,2,FIBRE_METRE_FBM,1
F9,fibre per cubic centimetre of air,,,2,FIBRE_PER_CUBIC_CENTIMETRE_OF_AIR_F9,1
FB,field,,,2,FIELD_FB,1
98,fifteen kg drum,,,2,FIFTEEN_KG_DRUM_98,1
47,fifty lb bag,,,2,FIFTY_LB_BAG_47,1
46,fifty lb bulk bag,,,2,FIFTY_LB_BULK_BAG_46,1
18,fiftyfive gallon (US) drum,,,2,FIFTYFIVE_GALLON_US_DRUM_18,1
P5,five pack,A unit of count defining the number of five_packs (five_pack: set of five items packaged together).,,2,FIVE_PACK_P5,1
44,fivehundred kg bulk bag,,,2,FIVEHUNDRED_KG_BULK_BAG_44,1
1I,fixed rate,A unit of quantity expressed as a predetermined or set rate for usage of a facility or service.,,2,FIXED_RATE_1I,1
FL,flake ton,A unit of mass defining the number of tons of a flaked substance (flake: a small flattish fragment).,,2,FLAKE_TON_FL,1
OZI,fluid ounce (UK),,fl oz (UK),1,FLUID_OUNCE_UK_OZI,0
OZA,fluid ounce (US),,fl oz (US),1,FLUID_OUNCE_US_OZA,0
FOT,foot,,ft,1,FOOT_FOT,0
M51,foot (U.S. survey),Unit commonly used in the United States for ordnance survey.,ft (US survey),1,FOOT_US_SURVEY_M51,0
K25,foot of mercury,,ft Hg,1,FOOT_OF_MERCURY_K25,0
K24,foot of water,,ft H₂O,1,FOOT_OF_WATER_K24,0
N15,foot of water (39.2 ºF),Non SI_conforming unit of pressure according to the Anglo_American and Imperial system for units whereas the value of 1 ftH2O is equivalent to the static pressure which is generated by a head of water at a temperature 392°F with a height of 1 foot .,ftH₂O (392 ºF),1,FOOT_OF_WATER_392_ºF_N15,0
K13,foot per degree Fahrenheit,,ft/°F,1,FOOT_PER_DEGREE_FAHRENHEIT_K13,0
K14,foot per hour,,ft/h,1,FOOT_PER_HOUR_K14,0
FR,foot per minute,,ft/min,1,FOOT_PER_MINUTE_FR,0
K17,foot per psi,,ft/psi,1,FOOT_PER_PSI_K17,0
FS,foot per second,,ft/s,1,FOOT_PER_SECOND_FS,0
K18,foot per second degree Fahrenheit,,(ft/s)/°F,1,FOOT_PER_SECOND_DEGREE_FAHRENHEIT_K18,0
K19,foot per second psi,,(ft/s)/psi,1,FOOT_PER_SECOND_PSI_K19,0
A73,foot per second squared,,ft/s^2,1,FOOT_PER_SECOND_SQUARED_A73,0
E33,foot per thousand,A unit of count defining the number of feet per thousand units.,,2,FOOT_PER_THOUSAND_E33,1
85,foot pound_force,,ft*lbf,1,FOOT_POUND_FORCE_85,0
K15,foot pound_force per hour,,ft*lbf/h,1,FOOT_POUND_FORCE_PER_HOUR_K15,0
K16,foot pound_force per minute,,ft*lbf/min,1,FOOT_POUND_FORCE_PER_MINUTE_K16,0
A74,foot pound_force per second,,ft*lbf/s,1,FOOT_POUND_FORCE_PER_SECOND_A74,0
